MAE,RMSE,MAPE,r2_score,window_size,model
369.7926,569.4999,0.0152,0.987,1,Conv1D
449.5268,710.1179,0.0185,0.9799,3,Conv1D
578.6243,886.4162,0.0238,0.9686,5,Conv1D
578.2653,888.104,0.0237,0.9685,7,Conv1D
467.425,722.8207,0.0193,0.9791,9,Conv1D
616.6826,948.0428,0.0253,0.9641,11,Conv1D
547.0272,816.7965,0.0226,0.9734,13,Conv1D
807.7539,1186.8861,0.0333,0.9437,15,Conv1D
652.4819,958.7167,0.027,0.9633,17,Conv1D
564.412,833.289,0.0234,0.9723,19,Conv1D
583.6578,856.5351,0.0241,0.9707,21,Conv1D
816.2114,1198.7422,0.0333,0.9426,23,Conv1D
639.8557,924.4695,0.0264,0.9658,25,Conv1D
606.5148,874.8665,0.0251,0.9694,27,Conv1D
637.8631,912.683,0.0261,0.9666,29,Conv1D
732.293,1044.6382,0.0304,0.9563,31,Conv1D
