MAE,RMSE,MAPE,r2_score,window_size,model
370.2389,570.1195,0.0152,0.987,1,Dense
453.2923,701.6121,0.0187,0.9803,3,Dense
412.8248,642.2967,0.017,0.9835,5,Dense
425.872,647.0054,0.0176,0.9833,7,Dense
545.7721,804.5424,0.0226,0.9741,9,Dense
504.4148,736.567,0.0207,0.9783,11,Dense
458.9423,683.9784,0.019,0.9813,13,Dense
608.9668,885.254,0.0255,0.9687,15,Dense
629.5967,869.5105,0.0266,0.9698,17,Dense
569.6556,787.6707,0.0238,0.9752,19,Dense
832.4158,1165.4638,0.0352,0.9457,21,Dense
652.1453,903.1223,0.0275,0.9674,23,Dense
664.2067,952.2439,0.0273,0.9637,25,Dense
690.2316,966.8611,0.0288,0.9626,27,Dense
585.6614,821.318,0.0249,0.973,29,Dense
632.4536,868.9769,0.0264,0.9698,31,Dense
