MAE,RMSE,MAPE,r2_score,window_size,model
380.1397,575.6945,0.0158,0.9868,1,GRU
431.4674,685.5202,0.0178,0.9812,3,GRU
423.9492,666.6623,0.0175,0.9822,5,GRU
432.6201,676.5783,0.0178,0.9817,7,GRU
424.8367,661.2596,0.0175,0.9825,9,GRU
448.3447,698.3037,0.0185,0.9805,11,GRU
427.1623,666.0433,0.0176,0.9823,13,GRU
404.4781,636.9108,0.0166,0.9838,15,GRU
430.8931,673.929,0.0177,0.9819,17,GRU
394.3891,623.9259,0.0162,0.9844,19,GRU
430.0301,670.745,0.0177,0.982,21,GRU
434.671,663.3691,0.0178,0.9824,23,GRU
479.9748,706.4078,0.0198,0.98,25,GRU
418.412,657.4189,0.0172,0.9827,27,GRU
411.0057,642.773,0.0169,0.9835,29,GRU
434.7405,681.1954,0.0178,0.9814,31,GRU
