MAE,RMSE,MAPE,r2_score,window_size,model
612.2787,770.6972,0.0253,0.9763,1,LSTM
483.021,724.7099,0.0199,0.979,3,LSTM
565.8924,840.0704,0.0234,0.9718,5,LSTM
862.708,1126.9615,0.0361,0.9493,7,LSTM
555.1409,840.7127,0.0227,0.9718,9,LSTM
636.1398,970.4522,0.026,0.9624,11,LSTM
640.9174,949.6624,0.0261,0.964,13,LSTM
694.7638,1004.0976,0.0292,0.9597,15,LSTM
798.6652,1120.7546,0.0329,0.9498,17,LSTM
626.2846,938.9448,0.0255,0.9648,19,LSTM
664.3817,1002.4803,0.0273,0.9598,21,LSTM
624.5156,913.3093,0.0255,0.9667,23,LSTM
742.8288,1078.4823,0.0306,0.9535,25,LSTM
554.7602,852.9988,0.0227,0.9709,27,LSTM
689.6291,1029.0587,0.0285,0.9576,29,LSTM
879.0716,1228.0142,0.0358,0.9396,31,LSTM
